28380	1140	1994-11-22 15:25:00-05	Government Orders	Supply	3050	Miss Grey	<p>Who's paying the bill?</p>	269	4	3949	f		\N						deborah-grey-23	/debates/1994/11/22/deborah-grey-23/
736740	2339	2011-01-31 15:15:00-05	Routine Proceedings	Questions on the Order Paper	1188	Hon. Gail Shea (Minister of Fisheries and Oceans, CPC)	<p data-HoCid="2289159">Mr. Speaker, the Minister of Fisheries and Oceans and all exempt staff are subject to the proactive disclosure. The details of their travel and hospitality expenses can be seen on Fisheries and Oceans’ website at the following link: www.dfo-mpo.gc.ca.</p>	289	39	556	f	Question No. 721	128709	<p data-HoCid="2289159"> Monsieur le Président, la ministre des Pêches et des Océans et son personnel exonéré sont assujettis à la divulgation proactive. Les détails de leurs frais de voyage et d’accueil peuvent être vus sur le site de Web de Pêches et des Océans à l’adresse suivante : www.dfo-mpo.gc.ca.</p>		R	p2289159	Minister of Fisheries and Oceans, CPC	gail-shea-3	/debates/2011/1/31/gail-shea-3/
171017	944	1999-05-10 19:10:00-04			\N		<p>The House resumed consideration of the motion that Bill C-72, an act to amend the Income Tax Act, to implement measures that are consequential on changes to the Canada-U.S. Tax Convention (1980) and to amend the Income Tax Conventions Interpretation Act, the Old Age Security Act, the War Veterans Allowance Act and certain acts related to the Income Tax Act, be read the third time and passed; and of the motion that the question be now put.</p>	266	77	\N	f		\N						procedural-7	/debates/1999/5/10/procedural-7/
28381	1140	1994-11-22 15:25:00-05	Government Orders	Supply	3054	Mrs. Brown (Calgary Southeast)	<p>Shame.</p>	270	1	6598	f		\N						jan-brown-1	/debates/1994/11/22/jan-brown-1/
28382	1140	1994-11-22 15:25:00-05	Government Orders	Supply	3080	Mr. Martin (Esquimalt-Juan de Fuca)	<p>Exactly. In these days of fiscal restraint, this is completely unconscionable. The pension plan scheme that we have now is called the defined benefit scheme where the benefits are paid according to a specific equation.</p>\n<p>It is reasonable to do this kind of scheme in firms where there is long tenure, long contributions and high retirement ages. Does this look like what we have here in this Parliament? No. In fact, it is the exact opposite of what we find here in this House.</p>\n<p>MPs retire relatively young after short tenures with minimal payments into the system. Thus one can see that this type of system bears a lot of risk for the employer. In this case who is the employer but the Canadian taxpayer. We are burdening the Canadian taxpayer with a risk that the private sector would not take for itself.</p>\n<p>The taxpayers in this country are taxed too much and cannot afford to be taxed any more. They have no obligation nor should they have to pay these lucrative pension plans that we currently enjoy in this House today. Currently MPs contribute 11 per cent of their basic salaries to the plan. The taxpayer picks up the rest. How much is this?</p>\n<p>If one looks at the entire plan, the MPs actually contribute from 20 per cent of the total amount that they are going to get paid out while the taxpayer pays 80 per cent. Furthermore these plans as members know are fully indexed to inflation.</p>\n<p>We in the Reform Party as usual would like to make some constructive suggestions to help bring these MP pensions in line with the rest of the public, this in the name of fairness, in the name of togetherness and in the name of collegiality to eliminate the us versus them mentality that the public perceives of us, to engage in fiscal responsibility and to do our part in a small but constructive way to bring the deficit down to zero and to start attacking the debt.</p>\n<p>To make the sacrifices that we are demanding of the Canadian public I have some constructive suggestions. First, let us convert these MP pension plans into a money purchase system that many private companies are doing. This is a shared contribution system where the MPs and the government put money into the system and into individual RRSPs. It is a joint contribution plan.</p>\n<p>Second, we must stop indexing the pension plans. Private plans do not do this so why should we? These measures will help eliminate the excessive topping up that the Canadian taxpayer must make in order to fulfil the obligations under the current payment scheme.</p>\n<p>Also, by putting it into private individual RRSPs, we are adding an element of personal responsibility into the system for the MPs themselves. Third, by doing this one is ultimately going to decrease the amount of retirement payments through OAS and CPP that we would have to incur in the future thereby adding further savings.</p>\n<p>I am going to take a little bit of licence here and bring in the social service payments to the retired for a moment because it is an interesting thing to do when we look into the future of a need that is going to require these social programs for the retired individual, in particular to enable those retired individuals who are not well off to have a social program that is going to provide for their needs in the future. When we look into the future our current social program schemes will not be able to provide payments to all retired individuals. Why? Let us look at some things. OAS pays out around $14 billion per year. CP pays out $10 billion a year and the guaranteed income supplement is around $4.5 billion a year.</p>\n<p>Furthermore the CPP current liability, the unpaid liability, is $500 billion, a fact that the Canadian taxpayer does not realize. This amount of money has to be paid and an amount of money that is not factored into any current debt projections we are currently hearing. By the year 2030 there will be two working people for every retired individual. This is an unsustainable situation and cannot last.</p>\n<p>In the near future it will be a necessity for individuals to take it upon themselves to provide for their own retirement needs because the government is not going to be able to do it for them. They will, I hope, be able to provide for the needs of those who are retired and those people who need it most. This is an example of prioritizing the spending that we are trying to convince the government to do.</p>\n<p>If MPs were to receive their pensions according to the ways I have mentioned in a sustainable fashion in the individual RRSPs, government social handouts would decrease, particularly government handouts would decrease to those individuals of which we would be a part. Therefore we could anticipate considerable savings from these programs.</p>\n<p>There is no way to balance this budget without making cuts to the social program situation as our party has discussed before. The government should take us as an example of a group of individuals where we can revamp our retirement program in order to become self-sufficient and in order for the individuals here not to become a millstone around the taxpayers' neck.</p>\n<p>Last, I would put up the retirement age for MPs. As I explained initially retirement age for most members of Parliament in other first world countries is much higher than what we have here. I would ask the Prime Minister to raise that to age 55 or 60.</p>\n<p>I have heard before that government members make various arguments that the lifetime of an MP is short and their certainty of employment is not high. Many members of the public also engage in jobs where the future is very uncertain. It is no</p>\n<p>different for them than for us. They do not receive any lucrative pension packages and neither should we.</p>\n<p>Government members also argue, as has been discussed today in the House, that many members take large pay cuts, have given up lucrative careers and that we will not get good people coming to government unless we have these lucrative pension schemes.</p>\n<p>I believe that good people will always come to the top and that money should not be the motivating factor to get into this job. If people are prepared to give up their professions in the name of public service then one is more assured that they will be honest in their intentions to serve the House and to serve the country.</p>\n<p>Much has been said on pensions. The Prime Minister has promised that he will allow us to opt out and revamp the pension scheme. I challenge him to rise to the occasion and do this in the name of fiscal responsibility and also in the name of respect of the Canadian public.</p>	271	1161	186	f		\N						keith-martin-2	/debates/1994/11/22/keith-martin-2/
28383	1140	1994-11-22 15:30:00-05	Government Orders	Supply	3333	Mr. John Solomon (Regina-Lumsden, NDP)	<p>Mr. Speaker, I want to share with members a little bit of history. This is not an issue which is new on the public agenda. For example in Saskatchewan in 1977 the then government of Allan Blakeney, who was a New Democratic Party premier, foresaw the problems of unfunded liability with respect to pensions for the civil service and also with respect to elected members of the legislature.</p>\n<p>Before I get into that historical perspective, for a couple of minutes I want to say that I believe fundamentally that serving your country and serving the public is an honourable profession, whether you are an elected member of a legislature, of Parliament, or an employee of one of the provincial, municipal, or federal governments.</p>\n<p>People want their elected representatives to be accountable, to have a pride in serving their country and to be compensated in a very satisfactory way so that we are responsible to those who pay our salary as opposed to having large incomes from secret sources or sources other than the taxpayers. If that is the case we become accountable to those who do pay our salaries.</p>\n<p>The point I want to make in my intervention this afternoon is that I believe serving your country is extremely important and our compensation should be adequate. I believe that a pension system is part of a compensation package, it is deferred income. I also believe, however, that the pension system we have now is unfunded in terms of its liability for taxpayers, it is very costly, and I believe it has to be changed.</p>\n<p>I do not just say this. I have undertaken some initiative to see some change. On September 21 I introduced a private member's bill, Bill C-270, which is the money purchase plan bill.</p>\n<p>It calls for the Government of Canada to change the MPs' pension system from the defined benefit to the defined contribution plan of a money purchase. It would be fair. It would be effective. It would reduce the taxpayers' subsidy of pensions from $7 to our $1, to a more fair $1 for $1. We contribute a dollar, the employer contributes a dollar and it goes into an RRSP-like account, earns interest, and at the time of our selection to take the money we become eligible to purchase a joint spousal life annuity which then reduces the amount of pension that we have, depending on the age of our spouse if the spouse is younger than us.</p>\n<p>This is something that is very important to me. To get back to my history comment, in Saskatchewan this type of plan was introduced-the defined contribution plan or money purchase plan-in 1979 for elected members of the Saskatchewan legislature. It has proven cost effective. It is the only pension plan for elected officials in the country that is endorsed by the Saskatchewan Taxpayers Association, by the Canadian Taxpayers Association, by the Canadian Federation of Independent Business. It is even endorsed by the National Citizens Coalition, to which some people may not be attracted but at least it is endorsed in the sense of it being fair, equitable for both taxpayers and members.</p>\n<p>I maintain that this is an opportunity for the House of Commons. When the Prime Minister introduces his bill, we should look at my private member's bill, Bill C-270. It is modelled after the Saskatchewan plan which has been in effect for 15, almost 16, years. It would be a very effective approach to addressing some of the concerns of taxpayers.</p>\n<p>I want to ask the member from the Reform Party whether he has seen the bill that I have tabled and whether his party would endorse such a plan which has been endorsed by many of the same associations which support his party.</p>	272	630	5321	f		\N						john-solomon-2	/debates/1994/11/22/john-solomon-2/
171018	944	1999-05-10 19:10:00-04	Government Orders	Income Tax Amendments Act, 1998	\N	The Speaker	<p>The House will now proceed to the taking of the deferred recorded division on the previous question at the third reading stage of Bill C-72.</p>	267	25	\N	t		\N						the-speaker-19	/debates/1999/5/10/the-speaker-19/
171019	944	1999-05-10 19:10:00-04	Government Orders	Income Tax Amendments Act, 1998	3231	Mr. Bob Kilger	<p>Mr. Speaker, I rise on a point of order. If the House would agree I would propose that you seek unanimous consent that the members who voted on the first bill we voted on this evening, Bill C-71, be recorded as having voted on the motion now before the House, with Liberal members voting yea.</p>	268	55	3532	f		\N						bob-kilger-2	/debates/1999/5/10/bob-kilger-2/
171020	944	1999-05-10 19:10:00-04	Government Orders	Income Tax Amendments Act, 1998	\N	The Speaker	<p>Is there agreement to proceed in such a fashion?</p>	269	9	\N	t		\N						the-speaker-20	/debates/1999/5/10/the-speaker-20/
171021	944	1999-05-10 19:10:00-04	Government Orders	Income Tax Amendments Act, 1998	\N	Some hon. members	<p>Agreed.</p>	270	1	\N	f		\N						some-hon-members-10	/debates/1999/5/10/some-hon-members-10/
171022	944	1999-05-10 19:10:00-04	Government Orders	Income Tax Amendments Act, 1998	2478	Mr. Chuck Strahl	<p>Mr. Speaker, Reform Party members present vote no to this motion.</p>	271	11	277	f		\N						chuck-strahl-1	/debates/1999/5/10/chuck-strahl-1/
171023	944	1999-05-10 19:10:00-04	Government Orders	Income Tax Amendments Act, 1998	3288	Mrs. Madeleine Dalphond-Guiral	<p>Mr. Speaker, the Bloc Quebecois members will oppose the motion.</p>	272	10	5083	f		\N						madeleine-dalphond-guiral-1	/debates/1999/5/10/madeleine-dalphond-guiral-1/
171024	944	1999-05-10 19:10:00-04	Government Orders	Income Tax Amendments Act, 1998	2740	Mr. John Solomon	<p>Mr. Speaker, members of the NDP vote no to this motion.</p>	273	11	5321	f		\N						john-solomon-1	/debates/1999/5/10/john-solomon-1/
337399	1500	2004-12-13 12:35:00-05	Government Orders	Migratory Birds Convention Act, 1994	1287	Mr. Nathan Cullen (Skeena—Bulkley Valley, NDP)	<p>Mr. Speaker, I would like to thank my colleague across the floor for his excellent speech and for his ability to concisely put together a number of things that have come together under <a href="/bills/964/" class="related_link legislation" title="An Act to amend the Migratory Birds Convention Act, 1994 and the Canadian Environmental Protection Act, 1999">Bill C-15</a>.</p>\n<p>Both the amendment and the bill say a great deal to me in terms of how this new government is meant to function. This legislation encourages the government to resist certain pressures it receives from some of its more corporate-minded friends. It also speaks to me of the ability, in this minority government, to put through amendments at committee stage that strengthen the bill and give it teeth.</p>\n<p>Clearly in having environmental legislation in this country that is voluntary or is meant to be at the lowest common denominator, we find that industry time and again falls to that lowest common denominator and falls into the voluntary status. Industry does not rise to the place that we Canadians would like to hold it to. This is an example of reality versus perception.</p>\n<p>For many years the Liberals have said during election campaigns that they were the protectors of the environment, that they were the great defenders of our environmental status. Yet what we have seen, as recently as last week, is that pollution numbers in this country are going up consistently. To me, this speaks to inefficiencies. When I see pollution coming out of a stack, when I see it leaving the tailpipe of a car, that speaks to me of a machine or an operation that is not working as well as it could or ought to. I am speaking about noise pollution, chemical pollution and all the rest.</p>\n<p><a href="/bills/964/" class="related_link legislation" title="An Act to amend the Migratory Birds Convention Act, 1994 and the Canadian Environmental Protection Act, 1999">Bill C-15</a> speaks very specifically to the intentional and deliberate pollution of our ocean waters. Clearly for many members in the House this is not the most riveting debate, yet at the same time this is an indicator of how we need to be considering our environment and starting to increase the seriousness of the discussion and the seriousness of the consequences for those companies that deliberately pollute the environment simply out of convenience or cost savings.</p>\n<p>The most recent example is the oil spill off the east coast, which has been talked about. The Minister of Natural Resources has called it a tragedy. He called it a tragedy only because of the fact that at $50 a barrel it was a shame to have lost all that oil into our ocean. He is missing the point entirely of what it means to have a spill in this modern day and age.</p>\n<p>Here is what we noticed when the thousands of ocean birds started washing up on shore. When the oil was tested it was found not to have come from the rig that had broken down but from ships that had passed through the spill. Captains of those ships decided that the best way to operate their ships was to go through a known spill, dump their bilge oil rather than go into port and properly take care of it, and then get away scot-free. This is the way business has come to operate.</p>\n<p>While there are many strong and environmentally sound players out there, we know that the shipping industry also operates on the law of the high seas, which is based upon “if you can't catch us then you can't fine us”, and if they cannot be fined, then no one knows it has been done.</p>\n<p>While I rise in support of the bill, the minimum fine precedent that my hon. colleague spoke of is very important when we look at other considerations in the environment. What is it when a company spills intentionally into a community's drinking water? What is it when an oil pipeline is not constructed properly and eventually leaks or breaks, contaminating an entire area? What is it when a car manufacturing company builds a car that it knows could be more efficient and decides not to?</p>\n<p>At what point will we decide to use the power of this place, the power of legislation at hand, to encourage companies, politely yet forcefully, to act in ways that are more responsible, respectable and efficient, whether that company is a smelting operation, a car manufacturer or any such operation within our country?</p>\n<p>We have forgotten a basic principle, which is that to operate a company within this country is not a right but a privilege. It is a privilege that is given by society as a collective whole. Whether it is a shoe making company, a company that makes lollipops or a company that makes oil tankers, we as a society decide that the business is permitted to operate within our borders.</p>\n<p>When we get into the international shipping reality, as my hon. colleague mentioned, and fine a company like Canada Steamship Lines whose former owner is worth hundreds of millions of dollars and may spend $20,000 or $30,000 on Christmas cards in any given year, it is not serious. That suddenly becomes a cost of doing business. We need to stop externalizing the cost of doing business in this country. If a company is allowed to run its costs up the smokestack into the air or out into the water or into the oceans and not pay for those costs of doing business, then we as consumers are not paying properly for the things we acquire and we as a governing body are not upholding our responsibility to Canadians.</p>\n<p>There is a second part to this. It arose in committee and I am looking forward to the actual and accurate piece of legislation. What happens when these fines are levied? In the past, environmental fines have been written off against a company's taxes, again as a part of doing business. A calculation is done on whether it is worth it to the company to pollute because the cost can simply be written off whatever taxes it is meant to pay to whatever level of government. It simply becomes an order of the day, a cold and calculated measurement, which we as society end up paying for twice. We pay for it first through the pollution in the environment and second through taxes and revenues that do not accrue to roads and health care and all those things our tax money is meant to go toward.</p>\n<p>As for the birds that we have been talking about, a lot of people visit the ocean very rarely so they see few of these waterfowl, which mean very little to them, but I have been considering them as an indicator species for the way we are treating our environment. They are visible. They are seen and known. People see them when they wash up. As has been mentioned many times in the House, it does not take much, just a small drop, on the body of an ocean-going bird to kill it, to ruin its ability to live and survive. These are simply the indicators, the things that we are able to see. The effects of pollution, whether it is in a child's asthma or increased cancer rates around a smelter, are much harder to detect and connect.</p>\n<p>Finally, after many years of trying, it was in a minority government that it was pushed. A government was able to take recommendations and changes from the minority parties. That is what pushed this bill through. Hopefully it will pass in the Senate and get royal assent.</p>\n<p>Let us look again at the shipping organizations. This is probably a clear message to them as well: simply lobbying their corporate friends in business and friends within the ruling government of the day, making sure that they are well taken care of, is no longer enough. These corporations actually have to make their case to the Conservatives, the Bloc and the NDP. They actually have to make their case, in this instance like many of the non-government organizations did. Clearly they made a better case for having something like a minimum fine, which, as has been said already, is a precedent in Canadian environmental law. We have finally said that if businesses do this and get caught, they will be paying a minimum fine of $500,000.</p>\n<p>We do have some concerns about where this fine ends up. If this were to end up hitting the workers on board the ships, who did not make the decision, who were not involved or did not have the power to stop the bilge dumping, we would have a problem with that. We need to go to the top of the food chain and find out who has the money and who is making the decisions to operate their business in such a way.</p>\n<p>The only other major concern we have with this is the inability to actually enforce this piece of legislation. I come from a coastal riding. We have put together legislation with teeth. We have put together a piece of legislation that is going to fine businesses and cause them to reconsider their options when they are not sure what to do with all their extra oil, but the second part of it is our actual ability to catch these guys.</p>\n<p>If the Coast Guard in my community and my riding is representative of how we are funding our Coast Guard across this country, we have a long way to go in getting to the point where we are actually able to see this happening, catch the people aboard the ships and make sure that the fines stick. This government has been consistent year in and year out in its lack of funding and support for our Canadian Coast Guard.</p>\n<p>We have one of the largest coasts in the entire world. With the effects of global warming, we are soon going to be looking at the possible opening of the Northwest Passage. We have absolutely no ability to enforce our sovereignty in that area. We have seen this just recently with a number of European nations starting to make some claims about some of our northern islands. As preposterous as this sounds to Canadians, that we could lose territory simply by not being there, it is becoming a reality.</p>\n<p>As the ice starts to break up more and more and ships are trying to get through on a more consistent basis, sovereignty comes into question, because we have absolutely no ability to actually be out on the water watching the polluters, the shipping traffic and the submarines of other countries go through our coastal waters in the north. Certainly our submarines cannot go out there anymore.</p>\n<p>We need to start supporting our Coast Guard in a serious way. If we are actually going to enforce what we think is good legislation and a good amendment to that legislation, we need to at some point get serious about the notion that we have enormous, beautiful and resilient coasts that need our protection.</p>	21	1859	75	f		\N						nathan-cullen-1	/debates/2004/12/13/nathan-cullen-1/
330735	1476	2004-11-02 10:30:00-05	Government Orders	Criminal Code	\N	Some hon. members	<p>Yea.</p>	21	1	\N	f		\N						some-hon-members-6	/debates/2004/11/2/some-hon-members-6/
322074	1655	2004-04-22 10:35:00-04			\N		<p>The House resumed consideration of the motion that Bill C-11, an act to give effect to the Westbank First Nation Self-Government Agreement, be read the third time and passed.</p>	21	29	\N	f		\N						procedural-2	/debates/2004/4/22/procedural-2/
318148	1640	2004-03-11 10:45:00-05	Government Orders	Supply	3688	Hon. Denis Paradis (Minister of State (Financial Institutions), Lib.)	<p>Mr. Speaker, first I would like to mention that I will be splitting my time with the hon. member for Etobicoke North.</p>\n<p>I truly appreciate the opportunity this debate offers to join with my colleagues in re-enforcing our government’s absolute commitment to the quality health care that has become a fundamental part of our national values and heritage.</p>\n<p>Improving our health care system is the number one priority of Canadians and their government. I am just back from a prebudget consultation tour and that is what we were told everywhere. Canadians everywhere want to see real, practical and measurable progress on improving access to health care services and reducing wait times.</p>\n<p>Clearly, now is the time for governments to stop pointing fingers and start working toward sustainable solutions for the Canadian health care system.</p>\n<p>There is no question that people are deeply concerned about the challenges, including the cost, that confront the health care system.</p>\n<p>This government has a concrete priority to work through partnerships with all orders of government and all stakeholders to provide Canadians in every region with the public health care system they need and rely on.</p>\n<p>This is not rhetoric. We have backed that priority with real action and bottom line results.</p>\n<p>For example, almost 80 per cent of all the new federal spending initiatives we have undertaken since balancing the books have been in just three areas: health care, education and innovation.</p>\n<p>Indeed, just last year, the federal government announced increases in funding under the 2003 Accord on Health Care Renewal alone totalling $34.8 billion over 5 years.</p>\n<p>A large part of these funds will increase the Canada Health and Social Transfer, or CHST, and will be available to provinces to use on health care, post-secondary education, social programs and early childhood development.</p>\n<p>Of the $34.8 billion, $29.5 billion goes to provinces and territories through increased transfers. It comes down to this:$16 billion over five year for the health reform transfer; $12 billion through the CHST and its successor programs; the $2.5 billion 2003 CHST cash supplement; and $1.5 billion for the diagnostic and medical equipment fund.</p>\n<p>The health reform transfer provides $16 billion over five years for the provinces and territories to target primary care, home care and catastrophic drug coverage.</p>\n<p>Now let us turn to the CHST which is intended to support health, social security and post-secondary education. Since health spending represents about 62% of the total that provinces spend in those three areas, it is reasonable to assume that, on average, 62% of the $38 billion that the government is providing this year would be spent on health. I think it is a fair assumption.</p>\n<p>That’s more than $23 billion of the annual CHST transfer. Adding in the $1 billion in support from the new health reform transfer and $500 million in the diagnostic and medical equipment fund increases this amount to over $24 billion just this year.</p>\n<p>And again, this is only part of the federal health care funding story.</p>\n<p>The federal government provides 8 of the 10 provinces with equalization, and they are free to allocate as much of this money to health as they choose. Quebec, for instance, is getting around $4 billion. So, we are talking about a lot of money.</p>\n<p>We know that the equalization-receiving provinces spend this money on health care because they tell us so themselves—when equalization payments fluctuate due to changes in provincial economies, the provinces are quick to point out that lower equalization payments mean fewer health care services for their residents.</p>\n<p>Equalization is not targeted just to social spending, so let us look at all provincial program spending in order to determine a reasonable amount.</p>\n<p>On average, provinces spend about 38% of their program budgets on health care. It is reasonable to assume 38% of annual equalization goes to health, which means about $3 billion a year for health care.</p>\n<p>Added to the more than $24 billion in federal support through the CHST and health reform transfer, this brings the federal contribution to approximately $28 billion, or 35% of provincial health care spending.</p>\n<p>The real question, of course, is: how does this fit in with provincial health care spending? And the answer may surprise you.</p>\n<p>In 2003-04, the provinces spent $78 billion on health care. And, as I have demonstrated, federal transfer funding that can be related to health care is $28 billion. In other words, we actually funded about 35 per cent of provincial health care spending, more than one-third.</p>\n<p>It is important to note that, because we are working with national averages, the actual share varies from province to province, because of their different spending on health care and the fact that not all provinces receive equalization.</p>\n<p>But, maybe the member opposite can explain how the federal government only funds 16% of health care in his province, when federal transfers this year are estimated to account for about 23 per cent of Quebec’s revenues.</p>\n<p>In summary, federal transfers currently cover over one-third of provincial health care costs, but we also have to recognize that federal support for health care extends beyond transfers to the provinces.</p>\n<p>There is also direct federal spending for health care. The federal government’s direct spending for health care is estimated at approximately $5 billion in 2003-04.</p>\n<p>This spending funds such important initiatives as first nations health, veterans’ health, health protection, disease prevention, health information and health-related research.</p>\n<p>Furthermore, through the tax system, the federal government provides support worth about $1 billion a year. This includes credits for medical expenses, disability, caregivers and infirm dependants.</p>\n<p>When you add the over $6 billion in direct spending and tax credits to $28 billion in transfers to provinces, which we talked about earlier, the federal government is providing about $34 billion a year, about 40% of all national public spending on health care in Canada.</p>\n<p>And this amount will continue to grow following recent investment outlined in the 2003 budget. I think the bottom line here is pretty clear.</p>\n<p>Still, let us continue to build on a positive partnership so that taxpayers can get good value for their money. It is always the same taxpayers who contribute at the municipal, provincial and federal levels, and they are asking their elected officials to agree with each other. Let us go in this direction.</p>	21	1052	1757	f		\N						denis-paradis-1	/debates/2004/3/11/denis-paradis-1/
314910	1628	2004-02-17 10:15:00-05	Government Orders	Supply	1562	Hon. Grant Hill (Macleod, CPC)	<p>moved:</p>\n<blockquote>\n<p>That, in the opinion of this House, the Liberal government has and continues to nurture a culture of corruption through the abuse of its influence and the use of public funds for personal benefit and to benefit friends, family and the Liberal Party of Canada.</p>\n</blockquote>\n<p>Mr. Speaker, I would like to inform you that I will be dividing my time today with the member for Pictou—Antigonish—Guysborough.</p>\n<p>For those who are not familiar with the parliamentary process, this is a day when the official opposition gets to put forward an issue to debate. This is a fairly significant issue.</p>\n<p>I want to start by asking, why does the sponsorship scandal matter?</p>\n<p>I have received a number of letters over the last week. I want to put some of the statements on the record.</p>\n<p>R.G.G. in Victoria, B.C. wrote: “If the Prime Minister were caught in a bank robbery he would claim he was innocent, as he was only driving the getaway car”.</p>\n<p>S.M. in Toronto wrote: “The fleecing of Canada, I am absolutely disgusted by what appears to be fraud perpetrated on the Canadian people with a view to coating the pockets of loyal allies of the Liberal government, if not the Liberal Party itself”.</p>\n<p>C.T. wrote: “The consensus of my senior citizens group who meet most mornings for coffee in order to discuss the political highlights of the day in order to solve the problems of the world, a modest goal, strongly believe that an election should not be held, at least until a first interim report is issued in order to be able to vote intelligently. Anything less would be undemocratic”.</p>\n<p>Someone in my own riding, E. and H.D. in High River wrote: “Private citizens get jail and public restitution. As a heavily taxed Canadian with less write-offs than members of Parliament, I request a cash penalty given to members who are responsible for their poor judgment while entrusted in their portfolios. I'll vote all right. I can hardly wait for the opportunity”.</p>\n<p>B. and N.C. from Priddis wrote: “Outrage. This is inexcusable and we trust persons will be prosecuted. The average Canadian would be behind bars”.</p>\n<p>Those just reflect a little bit of what the public is saying to me.</p>\n<p>Let me quickly summarize this scandal. The sum of $250 million was spent on increasing the visibility of the federal government in Quebec. This of course followed the near loss to the separatists on the Quebec referendum. The sum of $100 million plus of taxpayers' money went to commissions and fees. The companies implicated were Liberal-friendly ad agencies and some big crown corporations, such as VIA Rail and the BDC.</p>\n<p>As we pass the BDC I cannot help but mention the fine president of the BDC, François Beaudoin, who has been exonerated publicly for the excoriation that he received at the hands of the Liberal administration. I cannot believe that a man had that fortitude to stand up before that onslaught. François Beaudoin does down in my books as a hero in Canada.</p>\n<p>I have been asked if this is their way of doing things in Quebec. The answer is no. This is the way the Liberal Party of Canada does things.</p>\n<p>Let us take the example of the possible leadership scandal in British Columbia, where there are allegations concerning the use of narcodollars, or using drug money to buy membership cards. Such is a party's tradition gone adrift.</p>\n<p>Why is the Auditor General so credible on this subject? I looked back on the way the Auditor General reported on the firearms scandal. Suddenly, the public paid great attention to that. Our member for Yorkton—Melville had been saying exactly the same thing for months, years in fact. The Auditor General came out and suddenly the figures were credible.</p>\n<p>This is because she is non-partisan. She does not have an axe to grind, as politicians do. She backs up everything she says with irrefutable facts. She is cool, calm and collected in her delivery and quite frankly, the Auditor General of Canada, Sheila Fraser, is in my view another Canadian heroine.</p>\n<p>What excuses have been offered for this wilful ignorance? Wilful ignorance is no excuse under the Criminal Code of Canada.</p>\n<p>First, this scam was carried out by a small band of rogues in the civil service. It was pointing directly at individuals who, in my view, have never, ever been found guilty. Second, the rogues surely must have had some political direction; however, there was no suggestion where that direction might have come from, just innuendo. Third, political direction could have come from Alfonso Gagliano and other ministers yet unnamed. Finally, it was directed at the ex-Prime Minister himself.</p>\n<p>Whenever I hear a litany of excuses and the excuses change day by day, I am inclined to doubt the truth of any of them.</p>\n<p>How has this played out in the media? Here are some headlines to consider, some are fairly gentle and some not so gentle: “Liberals scramble to contain the scandal”; “Prime Minister must have known”; “Report blasts Ottawa cronyism in the contract scandal”; “Blatant egregious arrogance”; “Your money, their friends”; “Prime Minister blames rogue staff”; “Prime Minister says Chrétien rivalry kept him in the dark”. Here is one that I think is very important: “Eight in 10 Canadians say the Prime Minister knew more”.</p>\n<p>An editorial from the <em>Ottawa Sun</em> stated:</p>\n<blockquote>\n<p>An abuse of power, tens of millions of tax dollars diverted to secret bank accounts concealed with forged invoices and laundered through politically-connected businesses. A veil of strict secrecy protects the activities from the eyes of the public.</p>\n<p>And when the jig is up and the fraud is exposed everybody claims to know nothing or blames some secret cabal of shadowy operatives in the bureaucracy.</p>\n</blockquote>\n<p>That is describing the Government of Canada. What a disgusting thing to have to say.</p>\n<p>There is an alternative to the corrupt culture we have just had exposed by the Auditor General: a competent cabinet untouched by scandal; a new generation with fresh ideas; a party that treats taxpayers' money as a sacred trust; a party that puts health care as a top priority, spending dollars for that instead of siphoning off funds for their friends; and a party that would help hepatitis C victims of tainted blood instead of wasting money on worthless projects and scandals.</p>\n<p>That alternative is the Conservative Party of Canada.</p>	21	1070	3985	f		\N						grant-hill-1	/debates/2004/2/17/grant-hill-1/
232392	1878	2001-05-03 14:10:00-04	Statements By Members	Amateur Hockey	2644	Mr. Lynn Myers (Waterloo—Wellington, Lib.)	<p>Mr. Speaker, I am very pleased to inform the House today that the Elmira Sugar Kings Hockey Club of Elmira, Ontario, in my riding of Waterloo—Wellington, has won the Sutherland Cup, which is emblematic of junior B hockey supremacy in Ontario.</p>\n<p>In 1997 the Sugar Kings brought home their first championship to Elmira and now this season the Sugar Kings have captured their second junior B championship crown by defeating the Thorold Black Hawks four games to two.</p>\n<p>For the fans of amateur hockey in Waterloo—Wellington, the Elmira Sugar Kings have provided an excellent season to remember.</p>\n<p>I wish to express congratulations to general manager Graham Snyder, coach Dave Officer, team captain Darran Fischer and all the Sugar Kings players, coaching staff and trainers for a job well done. They bring honour to themselves, to their families and to their community.</p>	108	141	2399	f		\N						lynn-myers-1	/debates/2001/5/3/lynn-myers-1/
283269	1716	2002-12-13 10:55:00-05	Government Orders	Canada Pension Plan	\N	Some hon. members	<p>Agreed.</p>	24	1	\N	f		\N						some-hon-members-3	/debates/2002/12/13/some-hon-members-3/
189770	2081	2000-02-11 13:20:00-05	Government Orders	Municipal Grants Act	\N	The Acting Speaker (Mr. McClelland)	<p>The next question is on Motion No. 23. Is it the pleasure of the House to adopt the motion?</p>	358	19	\N	t		\N						the-acting-speaker-mr-mcclelland-78	/debates/2000/2/11/the-acting-speaker-mr-mcclelland-78/
